states,states_code,id,year,population,pop_growth
Alabama,AL,1,2011,4799069,0.284864266
Alaska,AK,2,2011,722128,1.151125492
Arizona,AZ,4,2011,6472643,1.021839276
Arkansas,AR,5,2011,2940667,0.640083177
California,CA,6,2011,37638369,0.854424585
Colorado,CO,8,2011,5121108,1.461341389
Connecticut,CT,9,2011,3588283,0.25618072
Delaware,DE,10,2011,907381,0.865724833
District of Columbia,DC,11,2011,619800,2.408026093
Florida,FL,12,2011,19053237,1.102117706
Georgia,GA,13,2011,9802431,0.932363154
Hawaii,HA,15,2011,1379329,1.126570149
Idaho,ID,16,2011,1583910,0.838073119
Illinois,IL,17,2011,12867454,0.209890532
Indiana,IN,18,2011,6516528,0.402068768
Iowa,IA,19,2011,3066336,0.511055496
Kansas,KS,20,2011,2869225,0.3860835
Kentucky,KY,21,2011,4369821,0.497679374
Louisiana,LA,22,2011,4575625,0.684184862
Maine,ME,23,2011,1328284,0.049336072
Maryland,MD,24,2011,5839419,0.877131004
Massachusetts,MA,25,2011,6613583,0.719978521
Michigan,MI,26,2011,9882412,0.049627892
Minnesota,MN,27,2011,5346143,0.664962224
Mississippi,MS,28,2011,2978731,0.275471058
Missouri,MO,29,2011,6010275,0.23851004
Montana,MT,30,2011,997316,0.668115478
Nebraska,NE,31,2011,1840672,0.608348975
Nevada,NV,32,2011,2712730,0.382067085
New Hampshire,NH,33,2011,1320202,0.261246907
New Jersey,NJ,34,2011,8828117,0.32582733
New Mexico,NM,35,2011,2080450,0.770045995
New York,NY,36,2011,19499241,0.512183633
North Carolina,NC,37,2011,9657592,0.869711623
North Dakota,ND,38,2011,685225,1.55769473
Ohio,OH,39,2011,11544663,0.046163835
Oklahoma,OK,40,2011,3788379,0.756261263
Oregon,OR,41,2011,3872036,0.900197551
Pennsylvania,PA,42,2011,12745815,0.272634441
Rhode Island,RI,44,2011,1053649,-0.029412909
South Carolina,SC,45,2011,4671994,0.784032613
South Dakota,SD,46,2011,823579,0.908271112
Tennessee,TN,47,2011,6399291,0.692019635
Texas,TX,48,2011,25645629,1.599154044
Utah,UT,49,2011,2814384,1.407110933
Vermont,VT,50,2011,627049,0.186937092
Virginia,VA,51,2011,8101155,0.9653403
Washington,WA,53,2011,6826627,1.242757121
West Virginia,WV,54,2011,1856301,0.111204651
Wisconsin,WI,55,2011,5705288,0.260312188
Wyoming,WY,56,2011,567299,0.498151419
Alabama,AL,1,2012,4815588,0.344212596
Alaska,AK,2,2012,730443,1.151457913
Arizona,AZ,4,2012,6554978,1.272046056
Arkansas,AR,5,2012,2952164,0.390965723
California,CA,6,2012,37948800,0.824772721
Colorado,CO,8,2012,5192647,1.396943786
Connecticut,CT,9,2012,3594547,0.174568171
Delaware,DE,10,2012,915179,0.859396439
District of Columbia,DC,11,2012,634924,2.440141981
Florida,FL,12,2012,19297822,1.283692634
Georgia,GA,13,2012,9901430,1.00994335
Hawaii,HA,15,2012,1394804,1.121922326
Idaho,ID,16,2012,1595324,0.720621752
Illinois,IL,17,2012,12882510,0.117008384
Indiana,IN,18,2012,6537703,0.324942976
Iowa,IA,19,2012,3076190,0.321360738
Kansas,KS,20,2012,2885257,0.558757156
Kentucky,KY,21,2012,4386346,0.378161943
Louisiana,LA,22,2012,4600972,0.55395711
Maine,ME,23,2012,1327729,-0.041783233
Maryland,MD,24,2012,5886992,0.814687215
Massachusetts,MA,25,2012,6663005,0.747280256
Michigan,MI,26,2012,9897145,0.149083038
Minnesota,MN,27,2012,5376643,0.570504755
Mississippi,MS,28,2012,2983816,0.170710279
Missouri,MO,29,2012,6024367,0.234465145
Montana,MT,30,2012,1003783,0.648440414
Nebraska,NE,31,2012,1853303,0.686216773
Nevada,NV,32,2012,2743996,1.152565865
New Hampshire,NH,33,2012,1324232,0.305256317
New Jersey,NJ,34,2012,8844942,0.190584244
New Mexico,NM,35,2012,2087309,0.329688289
New York,NY,36,2012,19572932,0.377917274
North Carolina,NC,37,2012,9749476,0.951417289
North Dakota,ND,38,2012,701176,2.327848517
Ohio,OH,39,2012,11548923,0.036900168
Oklahoma,OK,40,2012,3818814,0.803377909
Oregon,OR,41,2012,3899001,0.696403649
Pennsylvania,PA,42,2012,12767118,0.167137213
Rhode Island,RI,44,2012,1054621,0.092250835
South Carolina,SC,45,2012,4717354,0.970891658
South Dakota,SD,46,2012,833566,1.212634125
Tennessee,TN,47,2012,6453898,0.853328908
Texas,TX,48,2012,26084481,1.711215584
Utah,UT,49,2012,2853375,1.385418621
Vermont,VT,50,2012,626090,-0.152938606
Virginia,VA,51,2012,8185080,1.03596339
Washington,WA,53,2012,6897058,1.031710096
West Virginia,WV,54,2012,1856872,0.030760098
Wisconsin,WI,55,2012,5719960,0.257164932
Wyoming,WY,56,2012,576305,1.587522629
Alabama,AL,1,2013,4830081,0.300960132
Alaska,AK,2,2013,737068,0.906983844
Arizona,AZ,4,2013,6632764,1.186670649
Arkansas,AR,5,2013,2959400,0.245108334
California,CA,6,2013,38260787,0.822126128
Colorado,CO,8,2013,5269035,1.471080164
Connecticut,CT,9,2013,3594841,0.008179056
Delaware,DE,10,2013,923576,0.917525424
District of Columbia,DC,11,2013,650581,2.46596443
Florida,FL,12,2013,19545621,1.28407755
Georgia,GA,13,2013,9972479,0.717563019
Hawaii,HA,15,2013,1408243,0.96350455
Idaho,ID,16,2013,1611206,0.995534449
Illinois,IL,17,2013,12895129,0.097954514
Indiana,IN,18,2013,6568713,0.474325616
Iowa,IA,19,2013,3092997,0.54635767
Kansas,KS,20,2013,2893212,0.275712008
Kentucky,KY,21,2013,4404659,0.417500124
Louisiana,LA,22,2013,4624527,0.511957039
Maine,ME,23,2013,1328009,0.021088641
Maryland,MD,24,2013,5923188,0.614847107
Massachusetts,MA,25,2013,6713315,0.755064719
Michigan,MI,26,2013,9913065,0.160854469
Minnesota,MN,27,2013,5413479,0.685111509
Mississippi,MS,28,2013,2988711,0.164051671
Missouri,MO,29,2013,6040715,0.27136461
Montana,MT,30,2013,1013569,0.974911908
Nebraska,NE,31,2013,1865279,0.646197627
Nevada,NV,32,2013,2775970,1.165234935
New Hampshire,NH,33,2013,1326622,0.18048197
New Jersey,NJ,34,2013,8856972,0.136009937
New Mexico,NM,35,2013,2092273,0.237818167
New York,NY,36,2013,19624447,0.26319511
North Carolina,NC,37,2013,9843336,0.962718407
North Dakota,ND,38,2013,722036,2.975001997
Ohio,OH,39,2013,11576684,0.240377393
Oklahoma,OK,40,2013,3853214,0.900803234
Oregon,OR,41,2013,3922468,0.601872121
Pennsylvania,PA,42,2013,12776309,0.071989622
Rhode Island,RI,44,2013,1055081,0.043617565
South Carolina,SC,45,2013,4764080,0.990512902
South Dakota,SD,46,2013,842316,1.049706922
Tennessee,TN,47,2013,6494340,0.626629054
Texas,TX,48,2013,26480266,1.517319819
Utah,UT,49,2013,2897640,1.551320804
Vermont,VT,50,2013,626210,0.019166573
Virginia,VA,51,2013,8252427,0.822801976
Washington,WA,53,2013,6963985,0.970370265
West Virginia,WV,54,2013,1853914,-0.159300156
Wisconsin,WI,55,2013,5736754,0.293603452
Wyoming,WY,56,2013,582122,1.009361362
Alabama,AL,1,2014,4841799,0.242604627
Alaska,AK,2,2014,736283,-0.106503063
Arizona,AZ,4,2014,6730413,1.472221837
Arkansas,AR,5,2014,2967392,0.270054741
California,CA,6,2014,38596972,0.878667237
Colorado,CO,8,2014,5350101,1.538535994
Connecticut,CT,9,2014,3594524,-0.008818193
Delaware,DE,10,2014,932487,0.964836678
District of Columbia,DC,11,2014,662328,1.805616826
Florida,FL,12,2014,19845911,1.536354358
Georgia,GA,13,2014,10067278,0.950606163
Hawaii,HA,15,2014,1414538,0.447010921
Idaho,ID,16,2014,1631112,1.235472063
Illinois,IL,17,2014,12884493,-0.082480757
Indiana,IN,18,2014,6593644,0.379541624
Iowa,IA,19,2014,3109350,0.528710503
Kansas,KS,20,2014,2900475,0.251035873
Kentucky,KY,21,2014,4414349,0.219994329
Louisiana,LA,22,2014,4644013,0.421362012
Maine,ME,23,2014,1330513,0.188552939
Maryland,MD,24,2014,5957283,0.575619075
Massachusetts,MA,25,2014,6762596,0.734078469
Michigan,MI,26,2014,9929848,0.169301825
Minnesota,MN,27,2014,5451079,0.694562591
Mississippi,MS,28,2014,2990468,0.058787885
Missouri,MO,29,2014,6056202,0.256376936
Montana,MT,30,2014,1021869,0.818888502
Nebraska,NE,31,2014,1879321,0.752809633
Nevada,NV,32,2014,2817628,1.500664633
New Hampshire,NH,33,2014,1333341,0.506474339
New Jersey,NJ,34,2014,8864525,0.085277451
New Mexico,NM,35,2014,2089568,-0.129285232
New York,NY,36,2014,19651049,0.135555412
North Carolina,NC,37,2014,9932887,0.909762706
North Dakota,ND,38,2014,737401,2.128010238
Ohio,OH,39,2014,11602700,0.224727564
Oklahoma,OK,40,2014,3878187,0.648108306
Oregon,OR,41,2014,3963244,1.03954959
Pennsylvania,PA,42,2014,12788313,0.093955148
Rhode Island,RI,44,2014,1055936,0.081036432
South Carolina,SC,45,2014,4823617,1.249706134
South Dakota,SD,46,2014,849129,0.808841337
Tennessee,TN,47,2014,6541223,0.721905536
Texas,TX,48,2014,26964333,1.82802922
Utah,UT,49,2014,2936879,1.354170981
Vermont,VT,50,2014,625214,-0.159052075
Virginia,VA,51,2014,8310993,0.709682134
Washington,WA,53,2014,7054655,1.301984424
West Virginia,WV,54,2014,1849489,-0.238684211
Wisconsin,WI,55,2014,5751525,0.257480101
Wyoming,WY,56,2014,582531,0.070260186
Alabama,AL,1,2015,4852347,0.21785291
Alaska,AK,2,2015,737498,0.16501807
Arizona,AZ,4,2015,6829676,1.474842629
Arkansas,AR,5,2015,2978048,0.359103213
California,CA,6,2015,38918045,0.831860593
Colorado,CO,8,2015,5450623,1.878880417
Connecticut,CT,9,2015,3587122,-0.205924345
Delaware,DE,10,2015,941252,0.939959485
District of Columbia,DC,11,2015,675400,1.973644478
Florida,FL,12,2015,20209042,1.829752235
Georgia,GA,13,2015,10178447,1.104260754
Hawaii,HA,15,2015,1422052,0.531198172
Idaho,ID,16,2015,1651059,1.222908053
Illinois,IL,17,2015,12858913,-0.198533229
Indiana,IN,18,2015,6608422,0.22412493
Iowa,IA,19,2015,3120960,0.373389937
Kansas,KS,20,2015,2909011,0.294296624
Kentucky,KY,21,2015,4425976,0.263391046
Louisiana,LA,22,2015,4664628,0.443904873
Maine,ME,23,2015,1328262,-0.169182864
Maryland,MD,24,2015,5985562,0.474696267
Massachusetts,MA,25,2015,6794228,0.467749367
Michigan,MI,26,2015,9931715,0.018801899
Minnesota,MN,27,2015,5482032,0.567832534
Mississippi,MS,28,2015,2988471,-0.066778845
Missouri,MO,29,2015,6071732,0.256431341
Montana,MT,30,2015,1030475,0.842182315
Nebraska,NE,31,2015,1891277,0.636187219
Nevada,NV,32,2015,2866939,1.750089082
New Hampshire,NH,33,2015,1336350,0.225673702
New Jersey,NJ,34,2015,8867949,0.038625871
New Mexico,NM,35,2015,2089291,-0.013256329
New York,NY,36,2015,19654666,0.018406142
North Carolina,NC,37,2015,10031646,0.994262796
North Dakota,ND,38,2015,754066,2.259964388
Ohio,OH,39,2015,11617527,0.127789221
Oklahoma,OK,40,2015,3909500,0.807413361
Oregon,OR,41,2015,4015792,1.325883544
Pennsylvania,PA,42,2015,12784826,-0.027267084
Rhode Island,RI,44,2015,1056065,0.012216649
South Carolina,SC,45,2015,4891938,1.416385256
South Dakota,SD,46,2015,853988,0.57223343
Tennessee,TN,47,2015,6591170,0.763572806
Texas,TX,48,2015,27470056,1.875525718
Utah,UT,49,2015,2981835,1.530740626
Vermont,VT,50,2015,625216,0.00031989
Virginia,VA,51,2015,8361808,0.611419117
Washington,WA,53,2015,7163657,1.54510745
West Virginia,WV,54,2015,1842050,-0.402219208
Wisconsin,WI,55,2015,5760940,0.163695715
Wyoming,WY,56,2015,585613,0.529070556
Alabama,AL,1,2016,4863525,0.23036275
Alaska,AK,2,2016,741456,0.536679422
Arizona,AZ,4,2016,6941072,1.63105834
Arkansas,AR,5,2016,2989918,0.398583233
California,CA,6,2016,39167117,0.639991038
Colorado,CO,8,2016,5539215,1.625355487
Connecticut,CT,9,2016,3578141,-0.250367844
Delaware,DE,10,2016,948921,0.814765865
District of Columbia,DC,11,2016,685815,1.542049156
Florida,FL,12,2016,20613477,2.001257655
Georgia,GA,13,2016,10301890,1.212788159
Hawaii,HA,15,2016,1427559,0.387257287
Idaho,ID,16,2016,1682380,1.897024879
Illinois,IL,17,2016,12820527,-0.298516679
Indiana,IN,18,2016,6634304,0.391651744
Iowa,IA,19,2016,3131371,0.333583256
Kansas,KS,20,2016,2910844,0.063011106
Kentucky,KY,21,2016,4438182,0.27578098
Louisiana,LA,22,2016,4678135,0.289562212
Maine,ME,23,2016,1331317,0.229999804
Maryland,MD,24,2016,6003323,0.2967307
Massachusetts,MA,25,2016,6823608,0.432425877
Michigan,MI,26,2016,9950571,0.189856435
Minnesota,MN,27,2016,5522744,0.742644333
Mississippi,MS,28,2016,2987938,-0.017835207
Missouri,MO,29,2016,6087135,0.253683792
Montana,MT,30,2016,1040859,1.007690628
Nebraska,NE,31,2016,1905616,0.758164986
Nevada,NV,32,2016,2917563,1.765785739
New Hampshire,NH,33,2016,1342307,0.445766453
New Jersey,NJ,34,2016,8870827,0.032453953
New Mexico,NM,35,2016,2091630,0.111951854
New York,NY,36,2016,19633428,-0.108055767
North Carolina,NC,37,2016,10154788,1.227535342
North Dakota,ND,38,2016,754434,0.048802094
Ohio,OH,39,2016,11634370,0.14497922
Oklahoma,OK,40,2016,3926331,0.430515411
Oregon,OR,41,2016,4089976,1.847306833
Pennsylvania,PA,42,2016,12782275,-0.019953342
Rhode Island,RI,44,2016,1056770,0.066757255
South Carolina,SC,45,2016,4957968,1.349771808
South Dakota,SD,46,2016,862996,1.054815759
Tennessee,TN,47,2016,6646010,0.832022236
Texas,TX,48,2016,27914410,1.617594081
Utah,UT,49,2016,3041868,2.013290474
Vermont,VT,50,2016,623657,-0.249353823
Virginia,VA,51,2016,8410106,0.577602356
Washington,WA,53,2016,7294771,1.830266301
West Virginia,WV,54,2016,1831023,-0.59862653
Wisconsin,WI,55,2016,5772628,0.202883557
Wyoming,WY,56,2016,584215,-0.238724209
Alabama,AL,1,2017,4874486,0.225371516
Alaska,AK,2,2017,739700,-0.236831316
Arizona,AZ,4,2017,7044008,1.482998592
Arkansas,AR,5,2017,3001345,0.382184394
California,CA,6,2017,39358497,0.488624169
Colorado,CO,8,2017,5611885,1.311918747
Connecticut,CT,9,2017,3573297,-0.135377561
Delaware,DE,10,2017,956823,0.832735286
District of Columbia,DC,11,2017,694906,1.325576139
Florida,FL,12,2017,20963613,1.698578071
Georgia,GA,13,2017,10410330,1.052622383
Hawaii,HA,15,2017,1424393,-0.221777173
Idaho,ID,16,2017,1717715,2.100298387
Illinois,IL,17,2017,12778828,-0.32525184
Indiana,IN,18,2017,6658078,0.358349572
Iowa,IA,19,2017,3141550,0.325065283
Kansas,KS,20,2017,2908718,-0.073037236
Kentucky,KY,21,2017,4452268,0.317382207
Louisiana,LA,22,2017,4670560,-0.161923502
Maine,ME,23,2017,1334612,0.247499281
Maryland,MD,24,2017,6023868,0.34222713
Massachusetts,MA,25,2017,6859789,0.530232686
Michigan,MI,26,2017,9973114,0.226549813
Minnesota,MN,27,2017,5566230,0.787398438
Mississippi,MS,28,2017,2988510,0.019143637
Missouri,MO,29,2017,6106670,0.320922733
Montana,MT,30,2017,1052482,1.116673824
Nebraska,NE,31,2017,1915947,0.542134407
Nevada,NV,32,2017,2969905,1.794031526
New Hampshire,NH,33,2017,1348787,0.482750965
New Jersey,NJ,34,2017,8885525,0.165689174
New Mexico,NM,35,2017,2091784,0.007362679
New York,NY,36,2017,19589572,-0.223374135
North Carolina,NC,37,2017,10268233,1.117157739
North Dakota,ND,38,2017,754942,0.067335247
Ohio,OH,39,2017,11659650,0.217287227
Oklahoma,OK,40,2017,3931316,0.126963315
Oregon,OR,41,2017,4143625,1.311719189
Pennsylvania,PA,42,2017,12787641,0.041980007
Rhode Island,RI,44,2017,1055673,-0.103806883
South Carolina,SC,45,2017,5021268,1.276732726
South Dakota,SD,46,2017,872868,1.143921872
Tennessee,TN,47,2017,6708799,0.944762346
Texas,TX,48,2017,28295273,1.364395665
Utah,UT,49,2017,3101042,1.945317811
Vermont,VT,50,2017,624344,0.110156705
Virginia,VA,51,2017,8463587,0.635913507
Washington,WA,53,2017,7423362,1.762783232
West Virginia,WV,54,2017,1817004,-0.76563757
Wisconsin,WI,55,2017,5790186,0.304159561
Wyoming,WY,56,2017,578931,-0.904461542
Alabama,AL,1,2018,4887681,0.270695208
Alaska,AK,2,2018,735139,-0.616601325
Arizona,AZ,4,2018,7158024,1.618623943
Arkansas,AR,5,2018,3009733,0.279474702
California,CA,6,2018,39461588,0.261928193
Colorado,CO,8,2018,5691287,1.414890006
Connecticut,CT,9,2018,3571520,-0.049729983
Delaware,DE,10,2018,965479,0.904660528
District of Columbia,DC,11,2018,701547,0.955668824
Florida,FL,12,2018,21244317,1.339005829
Georgia,GA,13,2018,10511131,0.968278623
Hawaii,HA,15,2018,1420593,-0.266780306
Idaho,ID,16,2018,1750536,1.910736065
Illinois,IL,17,2018,12723071,-0.436323268
Indiana,IN,18,2018,6695497,0.562009036
Iowa,IA,19,2018,3148618,0.224984482
Kansas,KS,20,2018,2911359,0.090796014
Kentucky,KY,21,2018,4461153,0.199561212
Louisiana,LA,22,2018,4659690,-0.232734404
Maine,ME,23,2018,1339057,0.3330556
Maryland,MD,24,2018,6035802,0.198111911
Massachusetts,MA,25,2018,6882635,0.333042314
Michigan,MI,26,2018,9984072,0.109875411
Minnesota,MN,27,2018,5606249,0.718960589
Mississippi,MS,28,2018,2981020,-0.250626566
Missouri,MO,29,2018,6121623,0.244863403
Montana,MT,30,2018,1060665,0.777495482
Nebraska,NE,31,2018,1925614,0.504554667
Nevada,NV,32,2018,3027341,1.933933914
New Hampshire,NH,33,2018,1353465,0.346830152
New Jersey,NJ,34,2018,8886025,0.00562713
New Mexico,NM,35,2018,2092741,0.045750422
New York,NY,36,2018,19530351,-0.3023088
North Carolina,NC,37,2018,10381615,1.104201667
North Dakota,ND,38,2018,758080,0.415661071
Ohio,OH,39,2018,11676341,0.14315181
Oklahoma,OK,40,2018,3940235,0.226870595
Oregon,OR,41,2018,4181886,0.923370237
Pennsylvania,PA,42,2018,12800922,0.103858092
Rhode Island,RI,44,2018,1058287,0.247614555
South Carolina,SC,45,2018,5084156,1.252432652
South Dakota,SD,46,2018,878698,0.667913132
Tennessee,TN,47,2018,6771631,0.936561074
Texas,TX,48,2018,28628666,1.178263945
Utah,UT,49,2018,3153550,1.693237305
Vermont,VT,50,2018,624358,0.002242354
Virginia,VA,51,2018,8501286,0.445425799
Washington,WA,53,2018,7523869,1.353928314
West Virginia,WV,54,2018,1804291,-0.699668245
Wisconsin,WI,55,2018,5807406,0.297399773
Wyoming,WY,56,2018,577601,-0.229733768
Alabama,AL,1,2019,4903185,0.317205644
Alaska,AK,2,2019,731545,-0.488887136
Arizona,AZ,4,2019,7278717,1.686121757
Arkansas,AR,5,2019,3017804,0.268163322
California,CA,6,2019,39512223,0.128314654
Colorado,CO,8,2019,5758736,1.185127371
Connecticut,CT,9,2019,3565287,-0.174519532
Delaware,DE,10,2019,973764,0.858123274
District of Columbia,DC,11,2019,705749,0.598962008
Florida,FL,12,2019,21477737,1.098740901
Georgia,GA,13,2019,10617423,1.011232759
Hawaii,HA,15,2019,1415872,-0.332326008
Idaho,ID,16,2019,1787065,2.086732292
Illinois,IL,17,2019,12671821,-0.402811554
Indiana,IN,18,2019,6732219,0.548458165
Iowa,IA,19,2019,3155070,0.204915299
Kansas,KS,20,2019,2913314,0.06715077
Kentucky,KY,21,2019,4467673,0.146150558
Louisiana,LA,22,2019,4648794,-0.233835298
Maine,ME,23,2019,1344212,0.38497241
Maryland,MD,24,2019,6045680,0.163656793
Massachusetts,MA,25,2019,6892503,0.143375321
Michigan,MI,26,2019,9986857,0.02789443
Minnesota,MN,27,2019,5639632,0.59546053
Mississippi,MS,28,2019,2976149,-0.163400447
Missouri,MO,29,2019,6137428,0.258183165
Montana,MT,30,2019,1068778,0.764897494
Nebraska,NE,31,2019,1934408,0.456685504
Nevada,NV,32,2019,3080156,1.744600294
New Hampshire,NH,33,2019,1359711,0.461482196
New Jersey,NJ,34,2019,8882190,-0.043157655
New Mexico,NM,35,2019,2096829,0.195341898
New York,NY,36,2019,19453561,-0.393182898
North Carolina,NC,37,2019,10488084,1.025553346
North Dakota,ND,38,2019,762062,0.525274377
Ohio,OH,39,2019,11689100,0.109272245
Oklahoma,OK,40,2019,3956971,0.42474624
Oregon,OR,41,2019,4217737,0.857292619
Pennsylvania,PA,42,2019,12801989,0.008335337
Rhode Island,RI,44,2019,1059361,0.101484758
South Carolina,SC,45,2019,5148714,1.269787945
South Dakota,SD,46,2019,884659,0.678390073
Tennessee,TN,47,2019,6829174,0.849765736
Texas,TX,48,2019,28995881,1.282682889
Utah,UT,49,2019,3205958,1.661873127
Vermont,VT,50,2019,623989,-0.059100708
Virginia,VA,51,2019,8535519,0.402680253
Washington,WA,53,2019,7614893,1.209803095
West Virginia,WV,54,2019,1792147,-0.673062161
Wisconsin,WI,55,2019,5822434,0.258773022
Wyoming,WY,56,2019,578759,0.200484417
